title,body,date,url,source,image,compound
The company sees 'healthier' tone in ABS after upping size of latest deal,"Affirm debuted in the ABS market in 2020, issuing three deals worth $900m that year. The company issued four deals totaling $1.6bn in 2021, and a further four...",2023-01-23,https://www.globalcapital.com/securitization/article/2b6qpb75lck9p2pd9jldt/securitization/abs/affirm-sees-healthier-tone-in-abs-after-upping-latest-deal,GlobalCapital,https://audiospace-1-u9912847.deta.app/getnewspic?id=R3lx00LYNdfV8Fd2EpV91701422082.4483707,0.054616703
The company hits $100 on opening day after listing at $49 (Updated),The company recently expanded its reach through a partnership with online retail giant Shopify. While Affirm has succeeded in exploiting the popularity of the...,2021-01-13,https://fortune.com/2021/01/13/affirm-goes-public-at-49-ceo-touts-firms-principled-approach-to-credit/,Fortune,https://audiospace-1-u9912847.deta.app/getnewspic?id=yc4IdUrlwQ1gddaeO6y81701422082.498599,0.05200844099999999
"A Tech Titan's Entree to 'Buy Now, Pay Later' is Upsetting the ...","In 2016, Affirm's CEO Max Levchin told Inc. that access to credit is so ... Shares of BNPL companies Affirm and Afterpay have already dropped around 10 percent...",2021-07-16,https://www.inc.com/teresa-xie/apple-buy-now-pay-later-klarna-affirm-afterpay-affirm-bnpl.html,Inc. Magazine,https://audiospace-1-u9912847.deta.app/getnewspic?id=uvtoOQkUNiHieOrtLnQN1701422086.2060163,-0.23440321800000002
3 unconventional benefits got company a 92% approval rating,"So, we sat down with Affirm's Director of Global Benefits Mike Roeding to find out how this buy now, pay later company has a 92% approval rate when it comes to...",2022-07-20,https://www.hrmorning.com/articles/unconventional-benefits-affirm-wallet/,HR Morning,https://audiospace-1-u9912847.deta.app/getnewspic?id=32Nd4S7erKxnJgNBA5tz1701422086.2585888,0.34199478120000004
SOFI: SoFi vs. The company: Which Fintech Stock is a Better Buy?,"Based in San Francisco, SoFi Technologies, Inc. operates as a fintech company that offers various financial services. In addition to cryptocurrency trading,...",2022-01-20,https://stocknews.com/news/sofi-afrm-sofi-vs-affirm-which-fintech-stock-is-a-better-buy/,StockNews.com,https://audiospace-1-u9912847.deta.app/getnewspic?id=Qb5H69xAVhJhfjaS35jU1701422086.307343,0.906288393
The company stock rockets after Square announces $29 billion deal for rival Afterpay,Shares of buy-now pay-later (BNPL) company Affirm Holdings Inc. are surging more than 18% in Monday trading after Square Inc. announced its plans to...,2021-08-02,https://www.marketwatch.com/story/affirm-stock-rockets-after-square-announces-29-billion-deal-for-rival-afterpay-2021-08-02,MarketWatch,https://audiospace-1-u9912847.deta.app/getnewspic?id=xe4E4jBCFh8yf8eHcFwN1701422086.3805223,-0.12449460650000002
AFRM: The company vs. Block: Which Beaten-Down Fintech Stock Is a ...,"Affirm vs. Block: Which Beaten-Down Fintech Stock Is a Better Buy? : AFRM | Affirm Holdings Inc. Cl A News, Ratings, and Charts. AFRM – Affirm (AFRM) and...",2022-02-22,https://stocknews.com/news/afrm-sq-affirm-vs-block-which-beaten-down-fintech-stock-is-a-better/,StockNews.com,https://audiospace-1-u9912847.deta.app/getnewspic?id=pg8orkW6crTuMqXkgeYi1701422086.4644272,-0.085642117
Max Levchin's The company raises $300 million in latest funding round,(Reuters) - PayPal Holdings Inc co-founder Max Levchin's Affirm has raised $300 million in a funding round led by Thrive Capital that included actor Ashton...,2019-04-03,https://www.reuters.com/article/us-affirm-funding-idUSKCN1RF26Q/,Reuters,https://audiospace-1-u9912847.deta.app/getnewspic?id=hMUbPddtyRJNvrpvnpI31701422086.5118845,0.12860412266666668
Is The company's Deal With Shopify Too Good to Be True?,"But despite the deal quickly ramping up, Affirm shares have remained flat, so it's possible the company has given up a little too much for investors' liking. A...",2021-07-02,https://www.fool.com/investing/2021/07/02/is-affirms-deal-with-shopify-too-good-to-be-true/,The Motley Fool,https://audiospace-1-u9912847.deta.app/getnewspic?id=LbBlemWr2WbsLAQpEmpn1701422086.557629,0.37839040300000004
Better Buy: The company vs. American Express,"One fintech that has had an effect on the industry is Affirm Holdings (AFRM 4.18%). This buy now, pay later company had a meteoric rise after its initial public...",2022-04-22,https://www.fool.com/investing/2022/04/22/better-buy-affirm-vs-american-express/,The Motley Fool,https://audiospace-1-u9912847.deta.app/getnewspic?id=wJFLQVsugX52DNXeYDhl1701422086.612007,0.3716896205
"In IPO Pop, The company Doubles In Value To $24 Billion","Founded in 2012, Affirm lets people buy everything from shirts to car tires and pay them off in regular installments. It charges interest in about half of its...",2021-01-13,https://www.forbes.com/sites/jeffkauflin/2021/01/13/in-ipo-pop-affirm-doubles-in-value-to-24-billion/,Forbes,https://audiospace-1-u9912847.deta.app/getnewspic?id=z9mru3XB5F8aMw4GtMIQ1701422086.660233,0.09589192999999999
The company Waiving Outstanding Loan Balances in Australia for ...,"Pelo Buddy is in no way affiliated with Peloton Cycle or Peloton Interactive. Peloton is a registered trademark of Peloton Interactive, Inc. Some links on the...",2023-03-21,https://www.pelobuddy.com/affirm-balance-australia/,Pelo Buddy,https://audiospace-1-u9912847.deta.app/getnewspic?id=DQWiAQCNFXJ01gCc9RYU1701422080.7533329,0.436587166
"The company Vs. Mastercard: Their BNPL Strategy, Who Wins Long ...","Affirm Vs. Mastercard: A Deep Dive Into The Differences In BNPL Strategy And Who Wins Long-Term. Jan. 19, 2022 7:46 AM ETAffirm Holdings, Inc. (AFRM), MA41...",2022-01-19,https://seekingalpha.com/article/4480286-affirm-vs-mastercard-deep-dive-differences-in-bnpl-strategy-and-who-wins-long-term,Seeking Alpha,https://audiospace-1-u9912847.deta.app/getnewspic?id=GNRaltbOEMe0fw8saSOi1701422080.994363,0.302908648
Everything You Need to Know About The company | Personal Loans ...,"If you qualify for one of these short-term loans, you will choose a payment schedule and then pay at affirm.com or in the Affirm app. The company promises that...",2023-03-03,https://money.usnews.com/loans/personal-loans/articles/everything-you-need-to-know-about-affirm,U.S. News - Money,https://audiospace-1-u9912847.deta.app/getnewspic?id=8LTgcJ3M6v4XFfadDYFe1701422081.4000776,-0.012025557000000001
Fintech company The company opens Chicago office with 350 North ...,"Fintech company Affirm opens Chicago office with 350 North Orleans lease ... EQ Office announced that Affirm, Inc. will be opening its first Chicago office at 350...",2020-03-15,https://rejournals.com/fintech-company-affirm-opens-chicago-office-with-350-north-orleans-lease/,REJournals,https://audiospace-1-u9912847.deta.app/getnewspic?id=Ad696uSfN9CRqlHP6vpy1701422081.6727638,-0.066210086
US-based fintech firm The company lays off 19% of workforce,"US-based financial technology company Affirm has laid off 19% of its workforce, the company announced in its second-quarter earnings report. Elevate Your...",2023-02-09,https://economictimes.indiatimes.com/tech/technology/us-based-fintech-firm-affirm-lays-off-19-of-workforce/articleshow/97764672.cms,The Economic Times,https://audiospace-1-u9912847.deta.app/getnewspic?id=7nObyIlTmGOffhBMUffd1701422081.7960649,-0.11163301766666667
Is The company Stock a Buy?,"Share prices have declined 93% from their peak, and many shareholders are left wondering what the future holds for the company. Fortunately, Affirm's tale hasn'...",2023-04-25,https://www.fool.com/investing/2023/04/25/is-affirm-stock-a-buy/,The Motley Fool,https://audiospace-1-u9912847.deta.app/getnewspic?id=ZLymm4ob3Bh22K4JK6rT1701422081.8977833,0.0
"Stocks making the biggest moves after hours: Disney, Beyond Meat, The company Holdings and more","Affirm Holdings — Shares of Affirm , the digital “buy now, pay later” company, soared more than 21% in after-hours trading on Wednesday, after the company said...",2021-11-10,https://www.cnbc.com/2021/11/10/stocks-making-the-biggest-moves-after-hours-disney-beyond-meat-affirm-holdings-and-more.html,CNBC,https://audiospace-1-u9912847.deta.app/getnewspic?id=IZj86hFuybBHzyJ32e491701422082.06879,0.1653907535
Best Legal Departments: The company Associate GC Ryan Chen ...,"It's been a meteoric rise for San Francisco-based fintech Affirm and for Ryan Chen, the associate general counsel at the company who has played a pivotal...",2022-11-15,https://www.law.com/corpcounsel/2022/11/15/best-legal-departments-affirm-associate-gc-ryan-chen-plays-indispensable-role/,Law.com,https://audiospace-1-u9912847.deta.app/getnewspic?id=EF99IGkSu08RFezirjAh1701422082.1821823,0.7815200105
"Fintech Layoffs: PayPal, The company Among Companies Cutting ...",Thousands of employees in the nascent financial-technology industry are losing their jobs as companies cut costs for the first time. Affirm Holdings Inc.,2023-02-10,https://www.bloomberg.com/news/articles/2023-02-10/financial-technology-workers-slammed-by-thousands-of-job-cuts,Bloomberg.com,https://audiospace-1-u9912847.deta.app/getnewspic?id=wi20Ra7HRpQfYsGQwcaL1701422082.2584925,-0.22627713200000002
"The company, Agoda to Provide BNPL Travel Booking","Affirm works with more than 200,000 retailers offering buy now, pay later options to customers. The company insists it is different than some companies that...",2022-06-13,https://www.pymnts.com/travel-payments/2022/affirm-agoda-to-provide-bnpl-travel-booking/,PYMNTS.com,https://audiospace-1-u9912847.deta.app/getnewspic?id=WyyRBEJKZxYSJsPoQ0uf1701422089.0625052,0.117922934
"The company: All Out To Grow Revenues, Amazon Deal Could Be ...","Affirm: All Out To Grow Its Revenues, Amazon Deal Could Be Costly. Nov. 15, 2021 9:00 AM ETAffirm Holdings, Inc. (AFRM)31 Comments 10 Likes. Michael Wiggins...",2021-11-15,https://seekingalpha.com/article/4469457-affirm-q1-earnings-growing-revenues-amazon-deal-costly,Seeking Alpha,https://audiospace-1-u9912847.deta.app/getnewspic?id=43Xk3BEl0Gm8Cg5uH2Nb1701422089.1065023,0.004366014000000001
Wall Street hugs The company as it starts life as a public company,"We care about all of that as it's important to realize that Affirm is not a software company in the context that we usually think about them, namely software as...",2021-01-13,https://techcrunch.com/2021/01/13/wall-street-hugs-affirm-as-it-starts-life-as-a-public-company/,TechCrunch,https://audiospace-1-u9912847.deta.app/getnewspic?id=9nZbkxuaSbQ4k4FKZ1q21701422089.1695006,0.13976655300000002
The company's IPO Filing Reveals Nearly A Third Of Its Revenue ...,"Prior to taking the helm of Affirm, Levchin was most known for co-founding PayPal with Peter Thiel in 2000. The San Francisco-based company raised about $1.5...",2020-11-18,https://news.crunchbase.com/venture/affirm-s1-ipo/,Crunchbase News,https://audiospace-1-u9912847.deta.app/getnewspic?id=sdzbChIuJl5Jb3dwSVqU1701422089.2826738,0.117922934
PayPal Co-Founder Max Levchin Gave a Remarkably Honest ...,"Affirm lends money to make purchases. It's like a credit card, but less risky for customers. ... The personal loans startup Affirm offers a straightforward...",2017-12-18,https://www.inc.com/sonya-mann/max-levchin-affirm-misunderstood.html,Inc. Magazine,https://audiospace-1-u9912847.deta.app/getnewspic?id=StQ8TZb9tDHeovbPeN8B1701422089.485815,0.49027057749999997
Wayfair Partners with The company to Offer Shoppers More ...,"BOSTON--(BUSINESS WIRE)--Wayfair Inc. (NYSE:W), one of the world's largest online destinations for home furnishings and décor, today announced a new,...",2016-10-27,https://www.businesswire.com/news/home/20161027005408/en/Wayfair-Partners-with-Affirm-to-Offer-Shoppers-More-Accessible-Financing-Option,Business Wire,https://audiospace-1-u9912847.deta.app/getnewspic?id=z51P9naDqU5hBlpqHYMA1701422089.603432,0.29284743550000003
The company Says Merchants OK With Interest Rate Hikes,"Affirm is raising interest rates on its buy now, pay later loans. In an interview with Bloomberg News on Friday (Feb. 17), CEO Max Levchin said the company...",2023-02-19,https://www.pymnts.com/buy-now-pay-later/2023/affirm-gets-merchant-ok-to-hike-interest-rates/,PYMNTS.com,https://audiospace-1-u9912847.deta.app/getnewspic?id=GojgA9gC6dG3VUs7wsVp1701422089.6498153,0.14252989233333332
